Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Sarkar, PK; Chowdhury, SD; Kabir, MH; Sarker, PK; ","Comparative study on the productivity and profitability of commercial broiler, cockerel of a layer strain and cross-bred (Rir× Fayoumi) Chicks",Bangladesh Journal of Animal Science,37,2,89-98,2008,
"Sarker, PK; Pal, HK; Rahman, MM; Rahman, MM; ",Observation on the fecundity and gonado-somatic index of Mystus gulio in brackishwater of Bangladesh,Journal of Biological Sciences,2,4,235-237,2002,
"Sarker, Palash Kumar; Talukdar, Saimon Ahmad; Deb, Promita; Sayem, SM Abu; Mohsina, Kaniz; ",Optimization and partial characterization of culture conditions for the production of alkaline protease from Bacillus licheniformis P003,Springerplus,2,1,506,2013,Springer
"Chakraborty, Sourav; Mohsina, Kaniz; Sarker, Palash Kumar; Alam, Md Zahangir; Karim, M Ismail Abdul; Sayem, SM Abu; ","Prevalence, antibiotic susceptibility profiles and ESBL production in Klebsiella pneumoniae and Klebsiella oxytoca among hospitalized patients",Periodicum biologorum,118,1,,2016,
"Deb, Promita; Talukdar, Saimon Ahmad; Mohsina, Kaniz; Sarker, Palash Kumar; Sayem, SM Abu; ",Production and partial characterization of extracellular amylase enzyme from Bacillus amyloliquefaciens P-001,SpringerPlus,2,1,154,2013,Springer
"Dash, Biplab Kumar; Rahman, M Mizanur; Sarker, Palash Kumar; ",Molecular identification of a newly isolated Bacillus subtilis BI19 and optimization of production conditions for enhanced production of extracellular amylase,BioMed Research International,2015,1,859805,2015,Wiley Online Library
"Marlinda, Ab Rahman; Thien, Gregory Soon How; Shahid, Mehmood; Ling, Ting Yang; Hashem, Abu; Chan, Kah-Yoong; Johan, Mohd Rafie; ",Graphene as a lubricant additive for reducing friction and wear in its liquid-based form,Lubricants,11,1,29,2023,MDPI
"Khalil, Ibrahim; Hashem, Abu; Nath, Amit R; Julkapli, Nurhidayatullaili Muhd; Yehye, Wageeh A; Basirun, Wan Jeffrey; ","DNA/Nano based advanced genetic detection tools for authentication of species: Strategies, prospects and limitations",Molecular and cellular probes,59,,101758,2021,Elsevier
"Hashem, Abu; Hossain, MA Motalib; Al Mamun, Mohammad; Simarani, Khanom; Johan, Mohd Rafie; ",Nanomaterials based electrochemical nucleic acid biosensors for environmental monitoring: A review,Applied Surface Science Advances,4,,100064,2021,Elsevier
"Barman, Nirmal Chandra; Zohora, Fatema Tuj; Das, Keshob Chandra; Mowla, Md Golam; Banu, Nilufa Akhter; Salimullah, Md; Hashem, Abu; ","Production, partial optimization and characterization of keratinase enzyme by Arthrobacter sp. NFH5 isolated from soil samples",Amb Express,7,1,181,2017,Springer
"Al Mamun, Mohammad; Wahab, Yasmin Abdul; Hossain, MA Motalib; Hashem, Abu; Johan, Mohd Rafie; ",Electrochemical biosensors with Aptamer recognition layer for the diagnosis of pathogenic bacteria: Barriers to commercialization and remediation,TrAC Trends in Analytical Chemistry,145,,116458,2021,Elsevier
"Akter, Tanzina; Protity, Anica Tasnim; Shaha, Modhusudon; Al Mamun, Mohammad; Hashem, Abu; ",The impact of textile dyes on the environment,Nanohybrid materials for treatment of textiles dyes,,,401-431,2023,Springer
"Hossain, Mohammad Uzzal; Khan, Md Arif; Hashem, Abu; Islam, Md Monirul; Morshed, Mohammad Neaz; Keya, Chaman Ara; Salimullah, Md; ",Finding potential therapeutic targets against Shigella flexneri through proteome exploration,Frontiers in microbiology,7,,1817,2016,Frontiers Media SA
"Moonnee, Yeasmin Akter; Foysal, Md Javed; Hashem, Abu; Miah, Md Faruque; ",Keratinolytic protease from Pseudomonas aeruginosa for leather skin processing,Journal of Genetic Engineering and Biotechnology,19,1,53,2021,Springer
"Rana, Sohel; Rahman, Shakila; Sana, Samiron; Biswas, Tonmoy Kumar; Hashem, Abu Kayes Md; Parvin, Shahnaz; Mazumder, Kishor; ",Anticancer potential of Chenopodium album leaf extract against Ehrlich ascites carcinoma cells in Swiss albino mice,Future Journal of Pharmaceutical Sciences,6,1,65,2020,Springer
"Roy, SKS; Hamid, A; Miah, M Giashuddin; Hashem, A; ",Seed size variation and its effects on germination and seedling vigour in rice,Journal of Agronomy and Crop Science,176,2,79-82,1996,Wiley Online Library
"Hashem, Abu; Hossain, MA Motalib; Marlinda, Ab Rahman; Mamun, Mohammad Al; Sagadevan, Suresh; Shahnavaz, Zohreh; Simarani, Khanom; Johan, Mohd Rafie; ","Nucleic acid-based electrochemical biosensors for rapid clinical diagnosis: Advances, challenges, and opportunities",Critical reviews in clinical laboratory sciences,59,3,156-177,2022,Taylor & Francis
"Shaha, Modhusudon; Hoque, Sheikh Ariful; Ahmed, Mohammad Firoz; Rahman, Sabita Rezwana; ",Effects of risk factors on anti-HBs development in hepatitis B vaccinated and nonvaccinated populations,Viral immunology,28,4,217-221,2015,"SAGE Publications Sage CA: Los Angeles, CA"
"Karim, Md Ekramul; Sanjee, Sohana Al; Mahmud, Shohel; Shaha, Modhusudon; Moniruzzaman, Md; Das, Keshob Chandra; ",Microplastics pollution in Bangladesh: current scenario and future research perspective,Chemistry and Ecology,36,1,83-99,2020,Taylor & Francis
"Shaha, M; Perveen, I; Alamgir, MJ; Masud, MH; Rahman, MH; ",Prevalence and risk factors for gastro-esophageal reflux disease in the North-Eastern part of Bangladesh,Bangladesh Medical Research Council bulletin,38,3,108-113,2012,
